01/01/1876,01/01/1941
01/01/1883,01/01/1932
01/01/1883,01/01/1941
01/01/1846,01/01/1904
01/01/1839,01/01/1902
07/14/1885,07/20/1885
05/16/1881,06/04/1895
01/01/1857,01/01/1926
01/01/1853,01/01/1937
01/01/1870,01/01/1952
01/01/1862,01/01/1935
01/01/1858,01/01/1939
01/01/1823,01/01/1918
01/01/1857,01/01/1934
01/01/1852,01/01/1929
01/01/1892,01/01/1898
01/01/1825,01/01/1904
01/01/1929,01/01/1963
01/01/1867,01/01/1931
01/01/1857,01/01/1919
01/01/1869,01/01/1941
01/01/1863,01/01/1928
01/01/1861,01/01/1938
01/01/1858,01/01/1907
01/01/1892,01/01/1917
01/01/1868,01/01/1939
01/01/1855,01/01/1943
01/01/1864,01/01/1943
01/01/1894,01/01/1900
01/01/1866,01/01/1936
01/01/1873,01/01/1950
01/01/1881,01/01/1904
01/01/1846,01/01/1929
01/01/1849,01/01/1910
01/01/1873,01/01/1953
01/01/1873,01/01/1958
01/01/1838,01/01/1911
01/01/1852,01/01/1919
01/01/1874,01/01/1905
01/01/1876,01/01/1926
01/01/1846,01/01/1914
01/01/1860,01/01/1940
01/01/1854,01/01/1916
01/01/1883,01/01/1907
01/01/1850,01/01/1929
01/01/1906,01/01/1985
01/01/1825,01/01/1905
01/01/1892,01/01/1966
01/01/1869,01/01/1946
01/01/1862,01/01/1936
01/01/1839,01/01/1923
01/01/1866,01/01/1927
01/01/1888,01/01/1889
01/01/1965,01/01/1994
01/01/1931,01/01/1954
01/01/1844,01/01/1914
01/01/1841,01/01/1908
01/01/1849,01/01/1921
01/01/1847,01/01/1923
01/01/1844,01/01/1907
01/01/1853,01/01/1941
01/01/1851,01/01/1925
01/01/1839,01/01/1917
01/01/1841,01/01/1924
01/01/1882,01/01/1951
01/01/1904,01/01/1968
01/01/1899,01/01/1926
01/01/1865,01/01/1956
01/01/1865,01/01/1938
01/01/1908,01/01/1924
01/01/1898,01/01/1969
01/01/1869,01/01/1929
01/01/1873,01/01/1948
03/24/1869,06/24/1886
01/01/1842,01/01/1906
01/01/1881,01/01/1967
01/01/1838,01/01/1912
01/01/1869,01/01/1962
01/01/1875,01/01/1966
01/01/1887,01/01/1984
01/01/1896,01/01/1948
03/01/1844,07/16/1912
11/12/1843,08/28/1892
01/01/1864,01/01/1935
01/01/1882,01/01/1926
01/01/1866,01/01/1918
01/01/1892,01/01/1919
01/01/1899,01/01/1968
